SBW 8627,1178635,9
MAB6432,120312,15
SME 1524,461278,9
KDB586,20026,16
QAA 1294,1823001,4
AQM 119,360565,1
SCP 2778,1134565,9
SDR 227,1074603,9
LCA 1810,95510,3
SBR 2242,1031143,9
QAB 2301,2303201,4
B557636,509411,8
SAE 2446,469034,9
HKB 033,132881,14
DAR 414,70632,18
AAC 3710,265661,1
SAD 8055,515928,9
SAH 7775,516112,9
SAG 9558,437782,9
LEG 425,81440,3
SBM 4372,1055027,9
AAB 2940,174405,1
SAQ 7397,491315,9
SIH 078,1162005,9
IAA 6226,342553,10
JTP 1912,125009,12
SAI 8576,493105,9
SAA 9409,451082,9
LCA 3218,74970,3
SAD 8130,511678,9
SAG 1192,410851,9
AAF 8892,728398,1
SAG 2964,352350,9
B542706,447210,8
MAH 7278,61728,15
SAF 2678,272550,9
SAW 6795,435665,9
SAQ 2047,907857,9
DVE 0229,900024306,18
B512399,366852,8
SBI 9084,1155980,9
ARM 550,725579,1
B551106,486094,8
SAU 5915,960050,9
CCM 1697,2149,13
B546349,473279,8
SBE 1196,1034355,9
AAE 6783,243365,1
LCA 4777,110690,3
AAF 5875,247131,1
SBC 8134,1012385,9
IAA 3700,341255,10
SAU 2799,414822,9
SBJ 6409,1168302,9
SCB 9624,1140690,9
APS 914,61320,1
OAA 5366,28689,6
B531103,437551,8
B110113,394670,8
SAY 4605,499331,9
B553112,492050,8
AQJ 656,350129,1
SAH 8090,497725,9
AAG 7279,271173,1
SBC 4544,1006960,9
BAD854,202033,8
SAS 6601,375105,9
ASD 612,744522,1
CCA 2692,102769,13
LKA 2018,36110,3
FRA 1364,9257,11
SBL 6618,263182,9
BEA5045,473523,8
SBF 5483,1075237,9
SBB 5757,917643,9
PSA 1419,14234,7
B527889,429011,8
NAF 6517,33251,5
SAD 5091,954907,9
ARS 302,730109,1
SAA 7200,926044,9
DAC 115,900021307,18
SAY 3817,309836,9
FRB 1542,11836,11
QAA 3304,4000337,4
B708123,467526,8
SBJ 2030,1159681,9
AVK 1298,360897,1
SAR 5662,290064,9
SAI 1446,428823,9
LCA 1189,89360,3
B546043,424698,8
AAA 9512,322247,1
SGD 871,1175136,9
OAA 3822,19969,6
SBH 9823,1137835,9
B554517,498588,8
SBY 4812,449414,9
SKS 513,1097057,9
ATM 5010,742013,1
SBI 8060,1153957,9
PAA 5486,23712,7
AAB 9190,277564,1
SAB 5650,405078,9
SFS 394,1152173,9
B527308,427451,8
SAK 2072,340982,9
STP 4260,1171481,9
DAQ 800,65371,18
ERB 2114,367544,2
SAZ 4636,341189,9
SAF 2567,495572,9
KDE837,38138,16
SAX 9478,396150,9
IAA 1052,343692,10
SBH 5150,1126066,9
ARW 981,740716,1
SBP 7847,1084032,9
SFR 397,1150385,9
KML674,21144,16
B714546,351887,8
SAV 2336,280484,9
SAQ 6829,450990,9
AAO 7678,355786,1
AAA-7331,257497,1
DAA 7725,42076,18
LBA 6545,99960,3
AAE 6768,337472,1
AAF 6366,242731,1
AAA 8944,168445,1
AAG 1383,731972,1
SAJ 2843,490880,9
SBI 7121,998061,9
SAI 3444,295823,9
PAA 8130,20341,7
PAA 8209,18808,7
B133105,498521,8
CCB 6902,1022991,13
SCH 9446,396614,9
AAA 2800,150317,1
SBI 3407,1144429,9
SBG 1839,1094329,9
SAW 2357,259919,9
ARV 003,375178,1
B570179,401002,8
APU-398,375927,1
SCM 4526,1181364,9
AAF-4304,726914,1
SBF 8648,354282,9
SBK 6777,512588,9
AAC 2376,383236,1
AAI 8619,334497,1
SAO 7124,321079,9
AAC 1281,376410,1
SBJ 2237,1160122,9
B534341,443702,8
IAF 129,344785,10
B706594,448211,8
OAI 164,42564,6
SBE 2706,1038716,9
SBJ 3175,486310,9
SAH 3946,515931,9
LGE 347,61370,3
AAA 2374,247051,1
QAA 9132,1529601,4
AAD 8601,284339,1
SAZ 1588,970833,9
SDI 4386,444156,9
AAE 9734,364003,1
B540420,458738,8
SBE 5595,1046371,9
B107032,365831,8
GAA 1575,9813,0
SEA 905,1086858,9
SBG 8638,1111025,9
SAX 6416,460521,9
SEZ 102,1121372,9
SBN 7197,1130725,9
ATM 1180,373032,1
SAJ 2638,315510,9
SBI 8141,1153991,9
AAD-9764,361878,1
AAD 6005,202833,1
SAN 6341,270058,9
SBC 5537,1008377,9
SBH 6439,1129517,9
SDZ 505,1084815,9
SME 3661,956277,9
AAA 9554,249641,1
CCB 7667,3066,13
SBE 2291,1037643,9
B540721,459174,8
LHB 536,33330,3
SBG 9014,1111833,9
SCQ 2184,505676,9
NAJ 1152,108083,5
B707822,463866,8
SDH 639,1062181,9
GAL 814,24013,0
B553423,493032,8
SBR 3106,1139667,9
SAI 2131,380845,9
QAE 5026,3266501,4
SBF 1472,1062221,9
SBD 5360,1023609,9
AAA 2085,383434,1
SAF 9053,385309,9
SBB 6404,458123,9
LDA 4644,112150,3
SCG 1659,1157369,9
SAO 1613,502646,9
SBE 8920,1056915,9
SBJ 9512,1175118,9
IAB 4253,344112,10
AAV 7669,241971,1
ARU 010,732580,1
SBI 2786,1142852,9
B548129,476694,8
IAB 1365,341759,10
SAA 1469,996725,9
AAD 3744,275659,1
SBR 2227,971939,9
AAE 6582,285654,1
SBG 5369,1103149,9
SBK 4698,1185512,9
SAI 5847,515115,9
SDK 762,1064996,9
SFI 278,1134815,9
NCA 9512,38440,5
AAA 1179,378205,1
SAF 6412,407062,9
FRA 7291,1269,11
IAA 2095,354257,10
SAQ 2284,344587,9
IAA 5824,341825,10
KDH400,39544,16
AAC 3940,406587,1
AAC 4146,416973,1
SAF 3672,455247,9
FRA 8272,440,11
SBR 6772,217036,9
B555272,501012,8
SBI 9991,1157670,9
SBJ 1684,1159033,9
SAQ 2671,429953,9
JFB 8870,135848,12
B541625,465017,8
B122795,438957,8
SAU 6165,508630,9
SBH 7493,1132147,9
STP 986,280280,9
B533154,440853,8
SAY 3226,512895,9
B701142,200984,8
SBN 3094,402184,9
SCO 7210,1091274,9
SBF 1862,1063545,9
MAD2980,119862,15
SGA 942,1169676,9
EMB 4767,902132750,2
SAK 1453,331106,9
CCB 8275,1061756,13
SAP 8189,401157,9
SBI 8641,1155085,9
SAY 2344,340658,9
AAB 1222,288519,1
ATC 1363,171619,1
FRF 2688,7647,11
SAJ 3488,483379,9
SBB 4330,977835,9
SAX 3892,482156,9
SCN 4306,1165286,9
B122252,438228,8
SAG 3809,415867,9
QAD 1651,1458001,4
NAF 6125,102215,5
SAQ 7389,492627,9
SBJ 3667,1163030,9
SBB 9168,378961,9
SAD 3983,953790,9
B554078,495162,8
SAI 2579,480411,9
SAJ 1105,460642,9
LGA 2151,38450,3
AAD 1061,319154,1
HAG 508,148642,14
SBF 2578,935863,9
DAS 638,80415,18
SAK 4041,450643,9
SAW 6670,354155,9
ATP 3732,169372,1
CCY 164,1059482,13
ANR 496,148415,1
B587265,481036,8
SFP 711,1147079,9
SAK 8041,504268,9
SCE 7816,514043,9
B559698,415311,8
B305699,153961,8
DAG 599,900010014,18
QAB 2979,3191901,4
AAB 7419,288020,1
B550592,484847,8
SDB 311,1052931,9
AVJ 7590,310679,1
SAF 7199,396309,9
SAG 7709,358924,9
EMA 9468,500383,2
AAE 1473,351807,1
SBE 2406,1037943,9
SAD 7978,481814,9
LFA 2485,93000,3
B801537,301910,8
AAJ 4259,306725,1
SAF 6790,485413,9
ERB 1977,366857,2
LAA 5432,109700,3
SDW 702,1080933,9
B538626,454255,8
SAB 9839,940025,9
GAM 771,25592,0
PAA 5107,24567,7
SBJ 3445,1162530,9
B582796,490619,8
SCJ 5579,1106414,9
SAN 5583,251627,9
SBI 3193,1143950,9
SBB 7423,467405,9
FRA 7470,5184,11
PAA 7896,14717,7
B707410,460990,8
B534187,444450,8
SAE 1924,958160,9
AAA 2294,233303,1
SBK 1098,1176439,9
SAW 1518,399078,9
JYO 0103,135873,12
SBF 7109,1080883,9
SAE 2088,441319,9
SOF 4468,1160478,9
SAD 6356,495593,9
RAA6878,64759,17
PAA 2606,103747,7
SBE 5019,1044889,9
SAJ 9011,305506,9
AAF 6442,726099,1
CCB 6894,847,13
SFZ 745,1167567,9
SBK 2154,1179067,9
B550011,482084,8
SBD 6390,1026141,9
GAA 6600,22126,0
LCA 5101,113650,3
PAK 181,105215,7
PAB 846,106273,7
AAA-3243,232211,1
AAF 2795,319398,1
FRD 4666,12205,11
SAS 5338,457455,9
SFZ 696,1167418,9
ETP 2415,303270,2
SCE 3266,1084331,9
SBX 1071,296523,9
SBI 8781,1155234,9
LDE 382,106220,3
BAQ642,385259,8
NAK 2160,109346,5
SCH 2920,1037858,9
SBZ 7958,982368,9
SBY 3305,1119799,9
SAS 4166,344878,9
SFQ 982,1149599,9
AAK 5031,746886,1
SDL 196,1065702,9
SAS 4241,445234,9
SBX 2859,1117236,9
AAI 2987,350440,1
LJB 789,25990,3
LDA 1203,71520,3
SAR 9523,280413,9
SAR 6149,453891,9
B585093,498961,8
SAC 5806,945787,9
SAR 6418,410268,9
SAN 8854,482574,9
KDG244,38469,16
AAH 9193,354926,1
AAG 3355,289264,1
APS 146,424009,1
SCF 6156,461372,9
CCB 7880,1040955,13
CCA 9817,1016047,13
SAJ 9157,457868,9
SAA 3648,999463,9
AAC 2169,163635,1
RAJ820,100045,17
LBA 1342,113240,3
SBF 1635,1062756,9
SAH 1252,339159,9
SBJ 2602,1040575,9
HIG 383,161031,14
SAF 9377,490162,9
PAA 6246,21094,7
SBA 9284,399810,9
SBJ 5342,1166270,9
AQJ 561,716632,1
SAI 7788,958015,9
GAA 6289,21364,0
SCE 8589,942751,9
EMC 0848,614743,2
SAN 3426,437232,9
STP 2013,387438,9
SBL 2421,1038421,9
LDA 4956,115280,3
SAW 5369,453650,9
LDB 2068,78940,3
SAJ 4279,396030,9
AAG 7241,251167,1
SAP 9903,273688,9
SAA 2788,998306,9
SAN 3516,387136,9
QAB 1251,4002488,4
SFY 989,1166141,9
SCN 4629,482258,9
SCL 6683,1162475,9
HAB 8426,109839,14
SAJ 9793,488865,9
SBL 4336,476359,9
SBH 8867,389094,9
SBJ 1526,1158769,9
B555430,502080,8
LDA 8031,98820,3
PAA 5554,102874,7
AAK 8777,728096,1
LEA 3482,93840,3
ASC 650,743252,1
SBH 3561,989377,9
AAP 6231,304232,1
KMG135,35091,16
SBF 4205,1071045,9
SCH 6219,1026352,9
B508673,392685,8
SBL 7757,1070414,9
SEM 0,1102246,9
LCA 6112,63860,3
SAA 3745,999492,9
SBI 7559,1153251,9
AAE 1255,322679,1
ARL-132,725047,1
SBY 4953,928746,9
SAK 8643,319560,9
BTP1483,424017,8
IAB 7740,344023,10
LAA 2939,102340,3
AAF 4499,212565,1
SCR 1235,1015519,9
SCN 4766,1180223,9
SAR 8257,397553,9
SBI 8322,1154400,9
HAH 502,103669,14
SBD 1911,940417,9
SBW 3676,418907,9
B150107,481653,8
SBG 6563,514738,9
RAD 5452,78097,17
ATM 3522,175015,1
SBC 5505,1008306,9
AAB 6171,267312,1
B503364,355535,8
SBR 2772,495424,9
AAF 5582,230318,1
LCC 929,88480,3
AAG 2656,331716,1
BAA2323,482586,8
AAE 8365,719743,1
IAB 8137,343741,10
SAH 1472,497729,9
CAA 2002,1059133,13
SBR 2477,1069839,9
QBI 5045,1816901,4
LEA 1205,84700,3
B559178,517645,8
SAP 2415,450704,9
AAD 4162,95560,1
SCF 6330,1179139,9
SBA 8460,403920,9
QAE 4997,3084601,4
SAN 1526,461747,9
SBR 5046,1102176,9
SAV 3122,468700,9
SBA 8266,915138,9
OAB 3168,42537,6
SBI 8373,1154467,9
HAC 1116,148470,14
HAB 3406,148542,14
SBG 1488,1093549,9
MAC2611,44465,15
SBK 2766,1180619,9
SBP 8172,1102158,9
B130759,431679,8
SCI 2457,455947,9
FRD 5674,9806,11
SBG 5280,1102967,9
SBA 1280,409313,9
HAC 1382,140829,14
SGD 857,1175068,9
CCA 9734,1937,13
SAB 6479,936121,9
SBB 5591,446432,9
AAJ 6813,305502,1
AAG 1376,278242,1
HAA 6509,148578,14
QAD 6095,2505201,4
AAB 7318,266875,1
SAC 8756,950166,9
